S11;S22;S33;S12;S13;S23;theta
-27.6237;8.2888;19.3349;0;0;0;5.4629
-27.3677;7.7745;19.5932;0;0;0;5.4803
-27.114;7.2652;19.8488;0;0;0;5.4978
-26.8625;6.7605;20.102;0;0;0;5.5152
-26.6128;6.2601;20.3527;0;0;0;5.5327
-26.3647;5.7636;20.6011;0;0;0;5.5501
-26.1179;5.2707;20.8472;0;0;0;5.5676
-25.872;4.781;21.0911;0;0;0;5.5851
-25.6269;4.2941;21.3327;0;0;0;5.6025
-25.3821;3.8099;21.5722;0;0;0;5.62
-25.1376;3.3281;21.8095;0;0;0;5.6374
-24.8933;2.8483;22.045;0;0;0;5.6549
-24.6491;2.3704;22.2787;0;0;0;5.6723
-24.405;1.8941;22.5109;0;0;0;5.6898
-24.1609;1.4192;22.7417;0;0;0;5.7072
-23.9166;0.94533;22.9713;0;0;0;5.7247
-23.6721;0.47236;23.1998;0;0;0;5.7421
-23.4273;-9.1958e-15;23.4273;0;0;0;5.7596
-23.1821;-0.472;23.6541;0;0;0;5.777
-22.9362;-0.94389;23.8801;0;0;0;5.7945
-22.6896;-1.4159;24.1055;0;0;0;5.8119
-22.4422;-1.8883;24.3305;0;0;0;5.8294
-22.1936;-2.3613;24.555;0;0;0;5.8469
-21.9439;-2.8352;24.7792;0;0;0;5.8643
-21.6928;-3.3103;25.003;0;0;0;5.8818
-21.4401;-3.7866;25.2267;0;0;0;5.8992
-21.1856;-4.2645;25.4502;0;0;0;5.9167
-20.9292;-4.7443;25.6735;0;0;0;5.9341
-20.6706;-5.226;25.8967;0;0;0;5.9516
-20.4096;-5.7101;26.1197;0;0;0;5.969
-20.1459;-6.1965;26.3424;0;0;0;5.9865
-19.8791;-6.6856;26.5646;0;0;0;6.0039
-19.6089;-7.1774;26.7863;0;0;0;6.0214
-19.335;-7.6721;27.0071;0;0;0;6.0388
-19.0571;-8.1698;27.2269;0;0;0;6.0563
-18.7749;-8.6706;27.4455;0;0;0;6.0737
-18.488;-9.1746;27.6627;0;0;0;6.0912
-18.1958;-9.6818;27.8777;0;0;0;6.1087
-17.8975;-10.1918;28.0893;0;0;0;6.1261
-17.5923;-10.7042;28.2965;0;0;0;6.1436
-17.2793;-11.2187;28.498;0;0;0;6.161
-16.9576;-11.7344;28.692;0;0;0;6.1785
-16.6264;-12.2505;28.877;0;0;0;6.1959
-16.2845;-12.766;29.0504;0;0;0;6.2134
-15.9296;-13.2783;29.208;0;0;0;6.2308
-15.5599;-13.785;29.3448;0;0;0;6.2483
-15.1752;-14.2845;29.4597;0;0;0;6.2657
